surah_number,ayah_number,transliteration_converted
2,85,Ṯumma ʼantum haʼuulaʼ taqtuluna ʼanfusakum wa tuxrijuna fariqan minkum min diyarihim taḏ̣aharuna ɛalayhim bil-ʼiṯmi wa al-ɛudwani wa ʼin yaʼtukum ʼusara tufaduhum wa huwa muḥarramun ɛalaykum ʼixrajuhum ʼa fatuʼminuna bibaɛḍi al-kitabi wa takfuruna bibaɛḍin fama jazaʼu man yafɛalu ḏalika minkum ʼilla xizyun fi al-ḥayati ad-dunya wa yawma al-qiyamati yuradduna ʼila ʼacaddi al-ɛaḏabi wa ma Allahu biɣafilin ɛamma taɛmalun.
2,86,ʼulaʼika al-laḏina actaraw al-ḥayata ad-dunya bil-ʼaxirati fala yuxaffafu ɛanhum al-ɛaḏabu wa la hum yunṣarun.
2,87,Wa laqad ʼatayna musa al-kitaba wa qaffayna min baɛdihi bir-rusuli wa ʼatayna ɛisa abna maryama al-bayyinati wa ʼayyadnahu biruḥi al-qudusi ʼa fakullama jaʼakum rasulun bima la tahwa ʼanfusukum astakbartum fafariqan kaḏḏabtum wa fariqan taqtulun.
2,88,Wa qalu qulubuna ɣulfun bal laɛanahum Allahu bikufrihim faqalilan ma yuʼminun.
2,89,Wa lamma jaʼahum kitabun min ɛindi Allahi muṣaddiqun lima maɛahum wa kanu min qablu yastaftiḥuna ɛala al-laḏina kafaru falamma jaʼahum ma ɛarafu kafaru bihi falaɛnatu Allahi ɛala al-kafirin.
2,90,Biʼsa ma actaraw bihi ʼanfusahum ʼan yakfuru bima ʼanzala Allahu baɣyan ʼan yunazzila Allahu min faḍlih ɛala man yacaʼu min ɛibadihi fabaʼu biɣaḍabin ɛala ɣaḍabin wa lilkafirina ɛaḏabun muhinun.
2,91,Wa ʼiḏa qila lahum ʼaminu bima ʼanzala Allahu qalu nuʼminu bima ʼunzila ɛalayna wa yakfuruna bima waraʼahu wa huwa al-ḥaqqu muṣaddiqan lima maɛahum qul falima taqtuluna ʼanbiyaʼa Allahi min qablu ʼin kuntum muʼminin.
2,92,Wa laqad jaʼakum musa bil-bayyinati ṯumma attaxaḏtum al-ɛijla min baɛdihi wa ʼantum ḏ̣alimun.
2,93,Wa ʼiḏ ʼaxaḏna miṯaqakum wa rafaɛna fawqakum aṭ-ṭura xuḏu ma ʼataynakum biquwatin wa asmaɛu qalu samiɛna wa ɛaṣayna wa ʼucribu fi qulubihim al-ɛijla bikufrihim qul biʼsama yaʼmurukum bihi ʼimanukum ʼin kuntum muʼminin.
2,94,Qul ʼin kanat lakum ad-daru al-ʼaxiratu ɛinda Allahi xaliṣatan min duni an-nasi fatamannaw al-mawta ʼin kuntum ṣadiqin.
2,95,Wa lan yatamannawhu ʼabadan bima qaddamat ʼaydihim wa Allahu ɛalimun biḏ̣-ḏ̣alimin.
2,96,Wa latajidannahum ʼaḥraṣa an-nasi ɛala ḥayatin wa mina al-laḏina ʼacraku yawaddu ʼaḥaduhum law yuɛammaru ʼalfa sanatin wa ma huwa bimuzaḥziḥihi mina al-ɛaḏabi ʼan yuɛammara wa Allahu baṣirun bima yaɛmalun.
2,97,Qul man kana ɛaduwan lijibrila faʼinnahu nazzalahu ɛala qalbika biʼiḏni Allahi muṣaddiqan lima bayna yadayhi wa hudan wa bucra lilmuʼminin.
2,98,Man kana ɛaduwan Lillahi wa malaʼikatihi wa rusulihi wa jibrila wa mikala faʼinna Allaha ɛaduwun lilkafirin.
2,99,Wa laqad ʼanzalna ʼilayka ʼayatin bayyinatin wa ma yakfuru biha ʼilla al-fasiqun.
2,100,ʼawa kullama ɛahadu ɛahdan nabaḏahu fariqun minhum bal ʼakṯaruhum la yuʼminun.
2,101,Wa lamma jaʼahum rasulun min ɛindi Allahi muṣaddiqun lima maɛahum nabaḏa fariqun mina al-laḏina ʼutu al-kitaba kitaba Allahi waraʼa ḏ̣uhurihim kaʼannahum la yaɛlamun.
2,102,Wa attabaɛu ma tatlu ac-cayaṭinu ɛala mulki sulaymana wa ma kafara sulaymanu wa lakinna ac-cayaṭina kafaru yuɛallimuna an-nasa as-siḥra wa ma ʼunzila ɛala al-malakayni bibabila haruta wa maruta wa ma yuɛallimani min ʼaḥadin ḥatta yaqula ʼinnama naḥnu fitnatun fala takfur fayataɛallamuna minhuma ma yufarriquna bihi bayna al-marʼi wa zawjihi wa ma hum biḍarrina bihi min ʼaḥadin ʼilla biʼiḏni Allahi wa yataɛallamuna ma yaḍurruhum wa la yanfaɛuhum wa laqad ɛalimu laman actarahu ma lahu fi al-ʼaxirati min xalaqin wa labiʼsa ma caraw bihi ʼanfusahum law kanu yaɛlamun.
2,103,Wa law ʼannahum ʼamanu wa attaqaw lamaṯubatun min ɛindi Allahi xayrun law kanu yaɛlamun.
2,104,Ya ʼayyuha al-laḏina ʼamanu la taqulu raɛina wa qulu anḏ̣urna wa asmaɛu wa lilkafirina ɛaḏabun ʼalimun.
2,105,Ma yawaddu al-laḏina kafaru min ʼahli al-kitabi wa la al-mucrikina ʼan yunazzala ɛalaykum min xayrin min rabbikum wa Allahu yaxtaṣṣu biraḥmatihi man yacaʼu wa Allahu ḏu al-faḍli al-ɛaḏ̣im.
2,106,Ma nansax min ʼayatin ʼaw nunsiha naʼti bixayrin minha ʼaw miṯliha ʼalam taɛlam ʼanna Allaha ɛala kulli cayʼin qadirun.
2,107,ʼalam taɛlam ʼanna Allaha lahu mulku as-samawati wa al-ʼarḍi wa ma lakum min duni Allahi min wa liyin wa la naṣirin.
2,108,ʼam turiduna ʼan tasʼalu rasulakum kama suʼila musa min qablu wa man yatabaddal al-kufra bil-ʼimani faqad ḍalla sawaʼa as-sabil.
