surah_number,ayah_number,ayah_content,latin_inalco,Tifinagh
22,47,"B$an k a d tesqeôbev aâaqeb. Öebbi ur Ipzeggil lemâahda S, d awez$i. Ni$ ass, ar Mass ik, am agim iseggwasen, s leêsab nnwen.","Bɣan k a d tesqeṛbeḍ aɛaqeb. Ṛebbi ur Itzeggil lemɛahda S, d awezɣi. Niɣ ass, ar Mass ik, am agim iseggwasen, s leḥsab nnwen.","ⴱⵖⴰⵏ ⴽ ⴰ ⴷ ⵜⵙⵇⵕⴱⴹ ⴰⵄⴰⵇⴱ. ⵕⴱⴱⵉ ⵓⵔ ⵉⵜⵣⴳⴳⵉⵍ ⵍⵎⵄⴰⵀⴷⴰ ⵙ, ⴷ ⴰⵡⵣⵖⵉ. ⵏⵉⵖ ⴰⵙⵙ, ⴰⵔ ⵎⴰⵙⵙ ⵉⴽ, ⴰⵎ ⴰⴳⵉⵎ ⵉⵙⴳⴳⵡⴰⵙⵏ, ⵙ ⵍⵃⵙⴰⴱ ⵏⵏⵡⵏ."
22,48,"Acêal n temdinin iwumi Fki$ lmudda, u irna densent. Sinna, Zzi$ fellasent. £uôI tu$alin.","Acḥal n temdinin iwumi Fkiɣ lmudda, u irna densent. Sinna, Zziɣ fellasent. ɣuṛI tuɣalin.","ⴰⵛⵃⴰⵍ ⵏ ⵜⵎⴷⵉⵏⵉⵏ ⵉⵡⵓⵎⵉ ⴼⴽⵉⵖ ⵍⵎⵓⴷⴷⴰ, ⵓ ⵉⵔⵏⴰ ⴷⵏⵙⵏⵜ. ⵙⵉⵏⵏⴰ, ⵣⵣⵉⵖ ⴼⵍⵍⴰⵙⵏⵜ. ⵖⵓⵕⵉ ⵜⵓⵖⴰⵍⵉⵏ."
22,49,"Ini: ""a yimdanen! Nek, $uôwen, d aneddaô kan ipbegginen"".","Ini: ""a yimdanen! Nek, ɣuṛwen, d aneddaṛ kan itbegginen"".","ⵉⵏⵉ: ""ⴰ ⵢⵉⵎⴷⴰⵏⵏ! ⵏⴽ, ⵖⵓⵕⵡⵏ, ⴷ ⴰⵏⴷⴷⴰⵕ ⴽⴰⵏ ⵉⵜⴱⴳⴳⵉⵏⵏ""."
22,50,"I wid iumnen, ixeddmen ayen ilhan, ssmaê akked ôôeéq ukyis.","I wid iumnen, ixeddmen ayen ilhan, ssmaḥ akked ṛṛeẓq ukyis.","ⵉ ⵡⵉⴷ ⵉⵓⵎⵏⵏ, ⵉⵅⴷⴷⵎⵏ ⴰⵢⵏ ⵉⵍⵀⴰⵏ, ⵙⵙⵎⴰⵃ ⴰⴽⴽⴷ ⵕⵕⵥⵇ ⵓⴽⵢⵉⵙ."
22,51,"Wid iaânan asfunneg issekniyen nne£, widak d at ujajiê.","Wid iaɛnan asfunneg issekniyen nneɣ, widak d at ujajiḥ.","ⵡⵉⴷ ⵉⴰⵄⵏⴰⵏ ⴰⵙⴼⵓⵏⵏⴳ ⵉⵙⵙⴽⵏⵉⵢⵏ ⵏⵏⵖ, ⵡⵉⴷⴰⴽ ⴷ ⴰⵜ ⵓⵊⴰⵊⵉⵃ."
22,52,"Ur d Nuzen, uqbel ik, amazan ne$ nnbi, mebla ma ikecm ed Cciîan, deg wayen imenna, ma imenna. Itekkes Öebbi ayen d issekcam Cciîan, sinna, Itebbit issekniyen iS. Öebbi d Amusnaw, d Bab n ûûwab.","Ur d Nuzen, uqbel ik, amazan neɣ nnbi, mebla ma ikecm ed Cciṭan, deg wayen imenna, ma imenna. Itekkes Ṛebbi ayen d issekcam Cciṭan, sinna, Itebbit issekniyen iS. Ṛebbi d Amusnaw, d Bab n ṣṣwab.","ⵓⵔ ⴷ ⵏⵓⵣⵏ, ⵓⵇⴱⵍ ⵉⴽ, ⴰⵎⴰⵣⴰⵏ ⵏⵖ ⵏⵏⴱⵉ, ⵎⴱⵍⴰ ⵎⴰ ⵉⴽⵛⵎ ⴷ ⵛⵛⵉⵟⴰⵏ, ⴷⴳ ⵡⴰⵢⵏ ⵉⵎⵏⵏⴰ, ⵎⴰ ⵉⵎⵏⵏⴰ. ⵉⵜⴽⴽⵙ ⵕⴱⴱⵉ ⴰⵢⵏ ⴷ ⵉⵙⵙⴽⵛⴰⵎ ⵛⵛⵉⵟⴰⵏ, ⵙⵉⵏⵏⴰ, ⵉⵜⴱⴱⵉⵜ ⵉⵙⵙⴽⵏⵉⵢⵏ ⵉⵙ. ⵕⴱⴱⵉ ⴷ ⴰⵎⵓⵙⵏⴰⵡ, ⴷ ⴱⴰⴱ ⵏ ⵚⵚⵡⴰⴱ."
22,53,"Iwakken ad Irr aggway n Cciîan d ahewwel, i at wulawen iblan akked at wulawen aquôan. Ih, imednas atnan di t$ennant tu$miqt.","Iwakken ad Irr aggway n Cciṭan d ahewwel, i at wulawen iblan akked at wulawen aquṛan. Ih, imednas atnan di tɣennant tuɣmiqt.","ⵉⵡⴰⴽⴽⵏ ⴰⴷ ⵉⵔⵔ ⴰⴳⴳⵡⴰⵢ ⵏ ⵛⵛⵉⵟⴰⵏ ⴷ ⴰⵀⵡⵡⵍ, ⵉ ⴰⵜ ⵡⵓⵍⴰⵡⵏ ⵉⴱⵍⴰⵏ ⴰⴽⴽⴷ ⴰⵜ ⵡⵓⵍⴰⵡⵏ ⴰⵇⵓⵕⴰⵏ. ⵉⵀ, ⵉⵎⴷⵏⴰⵙ ⴰⵜⵏⴰⵏ ⴷⵉ ⵜⵖⵏⵏⴰⵏⵜ ⵜⵓⵖⵎⵉⵇⵜ."
22,54,"Iwakken ad éôen wid iwumi teppunefk tmusni, ar neppa d tidep, s$uô Mass ik. Ad amnen yis. Ad as anzen wulawen nnsen. Öebbi, s tidep, Inehhu wid iumnen, s abrid uwqim.","Iwakken ad ẓṛen wid iwumi tettunefk tmusni, ar netta d tidet, sɣuṛ Mass ik. Ad amnen yis. Ad as anzen wulawen nnsen. Ṛebbi, s tidet, Inehhu wid iumnen, s abrid uwqim.","ⵉⵡⴰⴽⴽⵏ ⴰⴷ ⵥⵕⵏ ⵡⵉⴷ ⵉⵡⵓⵎⵉ ⵜⵜⵜⵓⵏⴼⴽ ⵜⵎⵓⵙⵏⵉ, ⴰⵔ ⵏⵜⵜⴰ ⴷ ⵜⵉⴷⵜ, ⵙⵖⵓⵕ ⵎⴰⵙⵙ ⵉⴽ. ⴰⴷ ⴰⵎⵏⵏ ⵢⵉⵙ. ⴰⴷ ⴰⵙ ⴰⵏⵣⵏ ⵡⵓⵍⴰⵡⵏ ⵏⵏⵙⵏ. ⵕⴱⴱⵉ, ⵙ ⵜⵉⴷⵜ, ⵉⵏⵀⵀⵓ ⵡⵉⴷ ⵉⵓⵎⵏⵏ, ⵙ ⴰⴱⵔⵉⴷ ⵓⵡⵇⵉⵎ."
22,55,"Zgan wid ijehlen di ccekk fellas, ar ten id ias yimir, deqzalla, ne$ ibbwev iten id uâaqeb n wass abarar.","Zgan wid ijehlen di ccekk fellas, ar ten id ias yimir, deqzalla, neɣ ibbweḍ iten id uɛaqeb n wass abarar.","ⵣⴳⴰⵏ ⵡⵉⴷ ⵉⵊⵀⵍⵏ ⴷⵉ ⵛⵛⴽⴽ ⴼⵍⵍⴰⵙ, ⴰⵔ ⵜⵏ ⵉⴷ ⵉⴰⵙ ⵢⵉⵎⵉⵔ, ⴷⵇⵣⴰⵍⵍⴰ, ⵏⵖ ⵉⴱⴱⵡⴹ ⵉⵜⵏ ⵉⴷ ⵓⵄⴰⵇⴱ ⵏ ⵡⴰⵙⵙ ⴰⴱⴰⵔⴰⵔ."
22,56,"Assen, tagelda i Öebbi. Ad Iêudd garasen. Wid iumnen, ixeddmen ayen ilhan, ad ilin di Loennet n ssuâada.","Assen, tagelda i Ṛebbi. Ad Iḥudd garasen. Wid iumnen, ixeddmen ayen ilhan, ad ilin di Lǧennet n ssuɛada.","ⴰⵙⵙⵏ, ⵜⴰⴳⵍⴷⴰ ⵉ ⵕⴱⴱⵉ. ⴰⴷ ⵉⵃⵓⴷⴷ ⴳⴰⵔⴰⵙⵏ. ⵡⵉⴷ ⵉⵓⵎⵏⵏ, ⵉⵅⴷⴷⵎⵏ ⴰⵢⵏ ⵉⵍⵀⴰⵏ, ⴰⴷ ⵉⵍⵉⵏ ⴷⵉ ⵍⴷⵊⵏⵏⵜ ⵏ ⵙⵙⵓⵄⴰⴷⴰ."
