surah_number,ayah_number,ayah_content,latin_inalco,Tifinagh
3,135,"wid, ma xedmen tucmip, ne$ densen iman nnsen, a d mmektin Öebbi, ad ste$fôen $ef ibekkaven nnsen. Anwa Ipsemmiêen ibekkaven siwa Öebbi? Ur pgerninen deg wayen xedmen, u nitni éôan.","wid, ma xedmen tucmit, neɣ densen iman nnsen, a d mmektin Ṛebbi, ad steɣfṛen ɣef ibekkaḍen nnsen. Anwa Itsemmiḥen ibekkaḍen siwa Ṛebbi? Ur tgerninen deg wayen xedmen, u nitni ẓṛan.","ⵡⵉⴷ, ⵎⴰ ⵅⴷⵎⵏ ⵜⵓⵛⵎⵉⵜ, ⵏⵖ ⴷⵏⵙⵏ ⵉⵎⴰⵏ ⵏⵏⵙⵏ, ⴰ ⴷ ⵎⵎⴽⵜⵉⵏ ⵕⴱⴱⵉ, ⴰⴷ ⵙⵜⵖⴼⵕⵏ ⵖⴼ ⵉⴱⴽⴽⴰⴹⵏ ⵏⵏⵙⵏ. ⴰⵏⵡⴰ ⵉⵜⵙⵎⵎⵉⵃⵏ ⵉⴱⴽⴽⴰⴹⵏ ⵙⵉⵡⴰ ⵕⴱⴱⵉ? ⵓⵔ ⵜⴳⵔⵏⵉⵏⵏ ⴷⴳ ⵡⴰⵢⵏ ⵅⴷⵎⵏ, ⵓ ⵏⵉⵜⵏⵉ ⵥⵕⴰⵏ."
3,136,"Widak, akafi nnsen d ssmaê n Mass nnsen, akked leonanat, ddawat sen isaffen ppazzalen, degsen ad wekkôen. D arraz igerzen i wid issewqamen.","Widak, akafi nnsen d ssmaḥ n Mass nnsen, akked leǧnanat, ddawat sen isaffen ttazzalen, degsen ad wekkṛen. D arraz igerzen i wid issewqamen.","ⵡⵉⴷⴰⴽ, ⴰⴽⴰⴼⵉ ⵏⵏⵙⵏ ⴷ ⵙⵙⵎⴰⵃ ⵏ ⵎⴰⵙⵙ ⵏⵏⵙⵏ, ⴰⴽⴽⴷ ⵍⴷⵊⵏⴰⵏⴰⵜ, ⴷⴷⴰⵡⴰⵜ ⵙⵏ ⵉⵙⴰⴼⴼⵏ ⵜⵜⴰⵣⵣⴰⵍⵏ, ⴷⴳⵙⵏ ⴰⴷ ⵡⴽⴽⵕⵏ. ⴷ ⴰⵔⵔⴰⵣ ⵉⴳⵔⵣⵏ ⵉ ⵡⵉⴷ ⵉⵙⵙⵡⵇⴰⵎⵏ."
3,137,"Âaddant tedyanin uqbel nnwen. Iniget di tmurt, walit amek tevôa d wid id iggaren tikerkas.","Ɛaddant tedyanin uqbel nnwen. Iniget di tmurt, walit amek teḍṛa d wid id iggaren tikerkas.","ⵄⴰⴷⴷⴰⵏⵜ ⵜⴷⵢⴰⵏⵉⵏ ⵓⵇⴱⵍ ⵏⵏⵡⵏ. ⵉⵏⵉⴳⵜ ⴷⵉ ⵜⵎⵓⵔⵜ, ⵡⴰⵍⵉⵜ ⴰⵎⴽ ⵜⴹⵕⴰ ⴷ ⵡⵉⴷ ⵉⴷ ⵉⴳⴳⴰⵔⵏ ⵜⵉⴽⵔⴽⴰⵙ."
3,138,"Wagi d abeggen i medden, d nnhaya akked unecced i wid ipêezziben.","Wagi d abeggen i medden, d nnhaya akked unecced i wid itḥezziben.","ⵡⴰⴳⵉ ⴷ ⴰⴱⴳⴳⵏ ⵉ ⵎⴷⴷⵏ, ⴷ ⵏⵏⵀⴰⵢⴰ ⴰⴽⴽⴷ ⵓⵏⵛⵛⴷ ⵉ ⵡⵉⴷ ⵉⵜⵃⵣⵣⵉⴱⵏ."
3,139,"Ur ppifcilet, ur $webnet, d kunwi i iaâlayen, ma d lmumnin ay tellam.","Ur ttifcilet, ur ɣwebnet, d kunwi i iaɛlayen, ma d lmumnin ay tellam.","ⵓⵔ ⵜⵜⵉⴼⵛⵉⵍⵜ, ⵓⵔ ⵖⵡⴱⵏⵜ, ⴷ ⴽⵓⵏⵡⵉ ⵉ ⵉⴰⵄⵍⴰⵢⵏ, ⵎⴰ ⴷ ⵍⵎⵓⵎⵏⵉⵏ ⴰⵢ ⵜⵍⵍⴰⵎ."
3,140,"Ma iêuza kwen lada, ni$ lada i t icban iêuza agdud. Ussan agi Nerra ten, ger medden, d tidwal, iwakken ad Yissin Öebbi wid iumnen, ad Iddem segwen inagan. Öebbi ur Iêemmel ara imednas.","Ma iḥuza kwen lada, niɣ lada i t icban iḥuza agdud. Ussan agi Nerra ten, ger medden, d tidwal, iwakken ad Yissin Ṛebbi wid iumnen, ad Iddem segwen inagan. Ṛebbi ur Iḥemmel ara imednas.","ⵎⴰ ⵉⵃⵓⵣⴰ ⴽⵡⵏ ⵍⴰⴷⴰ, ⵏⵉⵖ ⵍⴰⴷⴰ ⵉ ⵜ ⵉⵛⴱⴰⵏ ⵉⵃⵓⵣⴰ ⴰⴳⴷⵓⴷ. ⵓⵙⵙⴰⵏ ⴰⴳⵉ ⵏⵔⵔⴰ ⵜⵏ, ⴳⵔ ⵎⴷⴷⵏ, ⴷ ⵜⵉⴷⵡⴰⵍ, ⵉⵡⴰⴽⴽⵏ ⴰⴷ ⵢⵉⵙⵙⵉⵏ ⵕⴱⴱⵉ ⵡⵉⴷ ⵉⵓⵎⵏⵏ, ⴰⴷ ⵉⴷⴷⵎ ⵙⴳⵡⵏ ⵉⵏⴰⴳⴰⵏ. ⵕⴱⴱⵉ ⵓⵔ ⵉⵃⵎⵎⵍ ⴰⵔⴰ ⵉⵎⴷⵏⴰⵙ."
3,141,"Iwakken ad Ijeôôeb Öebbi wid iumnen, u ad Isqucc ijehliyen.","Iwakken ad Ijeṛṛeb Ṛebbi wid iumnen, u ad Isqucc ijehliyen.","ⵉⵡⴰⴽⴽⵏ ⴰⴷ ⵉⵊⵕⵕⴱ ⵕⴱⴱⵉ ⵡⵉⴷ ⵉⵓⵎⵏⵏ, ⵓ ⴰⴷ ⵉⵙⵇⵓⵛⵛ ⵉⵊⵀⵍⵉⵢⵏ."
3,142,"Day t$ilem a pkecmem Loennet, wanag ur Iéôi ara Öebbi wid ijuhden segwen, ur Issin ara iûebôiyen?","Day tɣilem a tkecmem Lǧennet, wanag ur Iẓṛi ara Ṛebbi wid ijuhden segwen, ur Issin ara iṣebṛiyen?","ⴷⴰⵢ ⵜⵖⵉⵍⵎ ⴰ ⵜⴽⵛⵎⵎ ⵍⴷⵊⵏⵏⵜ, ⵡⴰⵏⴰⴳ ⵓⵔ ⵉⵥⵕⵉ ⴰⵔⴰ ⵕⴱⴱⵉ ⵡⵉⴷ ⵉⵊⵓⵀⴷⵏ ⵙⴳⵡⵏ, ⵓⵔ ⵉⵙⵙⵉⵏ ⴰⵔⴰ ⵉⵚⴱⵕⵉⵢⵏ?"
3,143,"Ni$ tepmennim tameppant, uqbel a p id temmagrem. Ni$ twalam p, kunwi tepmuqulem.","Niɣ tetmennim tamettant, uqbel a t id temmagrem. Niɣ twalam t, kunwi tetmuqulem.","ⵏⵉⵖ ⵜⵜⵎⵏⵏⵉⵎ ⵜⴰⵎⵜⵜⴰⵏⵜ, ⵓⵇⴱⵍ ⴰ ⵜ ⵉⴷ ⵜⵎⵎⴰⴳⵔⵎ. ⵏⵉⵖ ⵜⵡⴰⵍⴰⵎ ⵜ, ⴽⵓⵏⵡⵉ ⵜⵜⵎⵓⵇⵓⵍⵎ."
3,144,"Muêemmed d Amazan kan. Ni$ âaddan imazanen, uqbel is. Ma immut ne$ ipwan$a, day a ppu$alem ar deffir? Win ara iu$alen ar deffir, ur iîîuôôu Öebbi s wacemma. Öebbi ad Ikafi wid isnemmiren.","Muḥemmed d Amazan kan. Niɣ ɛaddan imazanen, uqbel is. Ma immut neɣ itwanɣa, day a ttuɣalem ar deffir? Win ara iuɣalen ar deffir, ur iṭṭuṛṛu Ṛebbi s wacemma. Ṛebbi ad Ikafi wid isnemmiren.","ⵎⵓⵃⵎⵎⴷ ⴷ ⴰⵎⴰⵣⴰⵏ ⴽⴰⵏ. ⵏⵉⵖ ⵄⴰⴷⴷⴰⵏ ⵉⵎⴰⵣⴰⵏⵏ, ⵓⵇⴱⵍ ⵉⵙ. ⵎⴰ ⵉⵎⵎⵓⵜ ⵏⵖ ⵉⵜⵡⴰⵏⵖⴰ, ⴷⴰⵢ ⴰ ⵜⵜⵓⵖⴰⵍⵎ ⴰⵔ ⴷⴼⴼⵉⵔ? ⵡⵉⵏ ⴰⵔⴰ ⵉⵓⵖⴰⵍⵏ ⴰⵔ ⴷⴼⴼⵉⵔ, ⵓⵔ ⵉⵟⵟⵓⵕⵕⵓ ⵕⴱⴱⵉ ⵙ ⵡⴰⵛⵎⵎⴰ. ⵕⴱⴱⵉ ⴰⴷ ⵉⴽⴰⴼⵉ ⵡⵉⴷ ⵉⵙⵏⵎⵎⵉⵔⵏ."
3,145,"Ur ipmeppat umdan siwa ma Irad Öebbi, di lajel iuran. Win ib$an akafi n ddunit, ad as t Nefk. Win ib$an akafi n laxeôt, ad as t Nefk. A Nkafi wid isnemmiren.","Ur itmettat umdan siwa ma Irad Ṛebbi, di lajel iuran. Win ibɣan akafi n ddunit, ad as t Nefk. Win ibɣan akafi n laxeṛt, ad as t Nefk. A Nkafi wid isnemmiren.","ⵓⵔ ⵉⵜⵎⵜⵜⴰⵜ ⵓⵎⴷⴰⵏ ⵙⵉⵡⴰ ⵎⴰ ⵉⵔⴰⴷ ⵕⴱⴱⵉ, ⴷⵉ ⵍⴰⵊⵍ ⵉⵓⵔⴰⵏ. ⵡⵉⵏ ⵉⴱⵖⴰⵏ ⴰⴽⴰⴼⵉ ⵏ ⴷⴷⵓⵏⵉⵜ, ⴰⴷ ⴰⵙ ⵜ ⵏⴼⴽ. ⵡⵉⵏ ⵉⴱⵖⴰⵏ ⴰⴽⴰⴼⵉ ⵏ ⵍⴰⵅⵕⵜ, ⴰⴷ ⴰⵙ ⵜ ⵏⴼⴽ. ⴰ ⵏⴽⴰⴼⵉ ⵡⵉⴷ ⵉⵙⵏⵎⵎⵉⵔⵏ."
3,146,"Acêal n lambiyya i innu$en, idda yidsen urbaâ iqwan, ur fcilen seg wayen iten issaâtben, deg ubrid n Öebbi, ur xuzen, ur fkin mayna. Öebbi Iêemmel iûebôiyen.","Acḥal n lambiyya i innuɣen, idda yidsen urbaɛ iqwan, ur fcilen seg wayen iten issaɛtben, deg ubrid n Ṛebbi, ur xuzen, ur fkin mayna. Ṛebbi Iḥemmel iṣebṛiyen.","ⴰⵛⵃⴰⵍ ⵏ ⵍⴰⵎⴱⵉⵢⵢⴰ ⵉ ⵉⵏⵏⵓⵖⵏ, ⵉⴷⴷⴰ ⵢⵉⴷⵙⵏ ⵓⵔⴱⴰⵄ ⵉⵇⵡⴰⵏ, ⵓⵔ ⴼⵛⵉⵍⵏ ⵙⴳ ⵡⴰⵢⵏ ⵉⵜⵏ ⵉⵙⵙⴰⵄⵜⴱⵏ, ⴷⴳ ⵓⴱⵔⵉⴷ ⵏ ⵕⴱⴱⵉ, ⵓⵔ ⵅⵓⵣⵏ, ⵓⵔ ⴼⴽⵉⵏ ⵎⴰⵢⵏⴰ. ⵕⴱⴱⵉ ⵉⵃⵎⵎⵍ ⵉⵚⴱⵕⵉⵢⵏ."
3,147,"Awal nnsen, siwa mi nnan: ""a Mass nne$! Semmeê a$ ibekkaven nne$, akked tugut nne$ di lameô nne$. Tebbet isurifen nne$, Sserbeê ane$ $ef ugdud ijehliyen"".","Awal nnsen, siwa mi nnan: ""a Mass nneɣ! Semmeḥ aɣ ibekkaḍen nneɣ, akked tugut nneɣ di lameṛ nneɣ. Tebbet isurifen nneɣ, Sserbeḥ aneɣ ɣef ugdud ijehliyen"".","ⴰⵡⴰⵍ ⵏⵏⵙⵏ, ⵙⵉⵡⴰ ⵎⵉ ⵏⵏⴰⵏ: ""ⴰ ⵎⴰⵙⵙ ⵏⵏⵖ! ⵙⵎⵎⵃ ⴰⵖ ⵉⴱⴽⴽⴰⴹⵏ ⵏⵏⵖ, ⴰⴽⴽⴷ ⵜⵓⴳⵓⵜ ⵏⵏⵖ ⴷⵉ ⵍⴰⵎⵕ ⵏⵏⵖ. ⵜⴱⴱⵜ ⵉⵙⵓⵔⵉⴼⵏ ⵏⵏⵖ, ⵙⵙⵔⴱⵃ ⴰⵏⵖ ⵖⴼ ⵓⴳⴷⵓⴷ ⵉⵊⵀⵍⵉⵢⵏ""."
3,148,"Ifka yasen Öebbi akafi n ddunit, akked ukafi lâali n laxert. Öebbi Iêemmel lâuûam.","Ifka yasen Ṛebbi akafi n ddunit, akked ukafi lɛali n laxert. Ṛebbi Iḥemmel lɛuṣam.","ⵉⴼⴽⴰ ⵢⴰⵙⵏ ⵕⴱⴱⵉ ⴰⴽⴰⴼⵉ ⵏ ⴷⴷⵓⵏⵉⵜ, ⴰⴽⴽⴷ ⵓⴽⴰⴼⵉ ⵍⵄⴰⵍⵉ ⵏ ⵍⴰⵅⵔⵜ. ⵕⴱⴱⵉ ⵉⵃⵎⵎⵍ ⵍⵄⵓⵚⴰⵎ."
3,149,"A wid iumnen! Ma tu$em awal i wid ijehlen, a kwen rren ar deffir, a ppu$alem txesôem.","A wid iumnen! Ma tuɣem awal i wid ijehlen, a kwen rren ar deffir, a ttuɣalem txesṛem.","ⴰ ⵡⵉⴷ ⵉⵓⵎⵏⵏ! ⵎⴰ ⵜⵓⵖⵎ ⴰⵡⴰⵍ ⵉ ⵡⵉⴷ ⵉⵊⵀⵍⵏ, ⴰ ⴽⵡⵏ ⵔⵔⵏ ⴰⵔ ⴷⴼⴼⵉⵔ, ⴰ ⵜⵜⵓⵖⴰⵍⵎ ⵜⵅⵙⵕⵎ."
3,150,"Xaîi! Öebbi d Bab nnwen. Neppa, Yif akw imâiwnen.","Xaṭi! Ṛebbi d Bab nnwen. Netta, Yif akw imɛiwnen.","ⵅⴰⵟⵉ! ⵕⴱⴱⵉ ⴷ ⴱⴰⴱ ⵏⵏⵡⵏ. ⵏⵜⵜⴰ, ⵢⵉⴼ ⴰⴽⵡ ⵉⵎⵄⵉⵡⵏⵏ."
3,151,"A Nessekcem tugdi deg ulawen n wid ijehlen, imi curken i Öebbi, ayen iwumi ur d irs ara udabu. Axxam nnsen d times. A yir tanezdu$t i imednas!","A Nessekcem tugdi deg ulawen n wid ijehlen, imi curken i Ṛebbi, ayen iwumi ur d irs ara udabu. Axxam nnsen d times. A yir tanezduɣt i imednas!","ⴰ ⵏⵙⵙⴽⵛⵎ ⵜⵓⴳⴷⵉ ⴷⴳ ⵓⵍⴰⵡⵏ ⵏ ⵡⵉⴷ ⵉⵊⵀⵍⵏ, ⵉⵎⵉ ⵛⵓⵔⴽⵏ ⵉ ⵕⴱⴱⵉ, ⴰⵢⵏ ⵉⵡⵓⵎⵉ ⵓⵔ ⴷ ⵉⵔⵙ ⴰⵔⴰ ⵓⴷⴰⴱⵓ. ⴰⵅⵅⴰⵎ ⵏⵏⵙⵏ ⴷ ⵜⵉⵎⵙ. ⴰ ⵢⵉⵔ ⵜⴰⵏⵣⴷⵓⵖⵜ ⵉ ⵉⵎⴷⵏⴰⵙ!"
3,152,"Ni$ Issawel awen Öebbi tidep, di lemâahda S, mi ten tesnegrem, s tsriê iS. Armi, mi tfeclem, temnamarem f lameô, taâûam mbaâd ma Issken awen d ayen têemmlem. Garawen wid ib$an ddunit, garawen wid ib$an laxert. Sinna, Issebâad ikwen fellasen, iwakken a kwen Ijeôôeb. Ni$ Isemmeê awen. Öebbi d Bab n lfevl i lmumnin.","Niɣ Issawel awen Ṛebbi tidet, di lemɛahda S, mi ten tesnegrem, s tsriḥ iS. Armi, mi tfeclem, temnamarem f lameṛ, taɛṣam mbaɛd ma Issken awen d ayen tḥemmlem. Garawen wid ibɣan ddunit, garawen wid ibɣan laxert. Sinna, Issebɛad ikwen fellasen, iwakken a kwen Ijeṛṛeb. Niɣ Isemmeḥ awen. Ṛebbi d Bab n lfeḍl i lmumnin.","ⵏⵉⵖ ⵉⵙⵙⴰⵡⵍ ⴰⵡⵏ ⵕⴱⴱⵉ ⵜⵉⴷⵜ, ⴷⵉ ⵍⵎⵄⴰⵀⴷⴰ ⵙ, ⵎⵉ ⵜⵏ ⵜⵙⵏⴳⵔⵎ, ⵙ ⵜⵙⵔⵉⵃ ⵉⵙ. ⴰⵔⵎⵉ, ⵎⵉ ⵜⴼⵛⵍⵎ, ⵜⵎⵏⴰⵎⴰⵔⵎ ⴼ ⵍⴰⵎⵕ, ⵜⴰⵄⵚⴰⵎ ⵎⴱⴰⵄⴷ ⵎⴰ ⵉⵙⵙⴽⵏ ⴰⵡⵏ ⴷ ⴰⵢⵏ ⵜⵃⵎⵎⵍⵎ. ⴳⴰⵔⴰⵡⵏ ⵡⵉⴷ ⵉⴱⵖⴰⵏ ⴷⴷⵓⵏⵉⵜ, ⴳⴰⵔⴰⵡⵏ ⵡⵉⴷ ⵉⴱⵖⴰⵏ ⵍⴰⵅⵔⵜ. ⵙⵉⵏⵏⴰ, ⵉⵙⵙⴱⵄⴰⴷ ⵉⴽⵡⵏ ⴼⵍⵍⴰⵙⵏ, ⵉⵡⴰⴽⴽⵏ ⴰ ⴽⵡⵏ ⵉⵊⵕⵕⴱ. ⵏⵉⵖ ⵉⵙⵎⵎⵃ ⴰⵡⵏ. ⵕⴱⴱⵉ ⴷ ⴱⴰⴱ ⵏ ⵍⴼⴹⵍ ⵉ ⵍⵎⵓⵎⵏⵉⵏ."
3,153,"Mi tulim ur d tezzim, u Nnbi inecced ikwen ar ineggura nnwen. Ineûûef awen a$ilif s wayev, iwakken ur t$webnem $ef wayen i wen iôuêen, akked wayen ikwen iu$en. Öebbi Iéôa ayen txeddmem.","Mi tulim ur d tezzim, u Nnbi inecced ikwen ar ineggura nnwen. Ineṣṣef awen aɣilif s wayeḍ, iwakken ur tɣwebnem ɣef wayen i wen iṛuḥen, akked wayen ikwen iuɣen. Ṛebbi Iẓṛa ayen txeddmem.","ⵎⵉ ⵜⵓⵍⵉⵎ ⵓⵔ ⴷ ⵜⵣⵣⵉⵎ, ⵓ ⵏⵏⴱⵉ ⵉⵏⵛⵛⴷ ⵉⴽⵡⵏ ⴰⵔ ⵉⵏⴳⴳⵓⵔⴰ ⵏⵏⵡⵏ. ⵉⵏⵚⵚⴼ ⴰⵡⵏ ⴰⵖⵉⵍⵉⴼ ⵙ ⵡⴰⵢⴹ, ⵉⵡⴰⴽⴽⵏ ⵓⵔ ⵜⵖⵡⴱⵏⵎ ⵖⴼ ⵡⴰⵢⵏ ⵉ ⵡⵏ ⵉⵕⵓⵃⵏ, ⴰⴽⴽⴷ ⵡⴰⵢⵏ ⵉⴽⵡⵏ ⵉⵓⵖⵏ. ⵕⴱⴱⵉ ⵉⵥⵕⴰ ⴰⵢⵏ ⵜⵅⴷⴷⵎⵎ."
3,154,"Sinna, deffir u$ilif, Issers awen d laman, ives id i$lin $ef urbaâ segwen. Ni$ arbaâ pêebbiôen $ef yiman nnsen, nnwan, $ef Öebbi, ayen ur nelli d tidep, nnwaya n at war tussna. Qqaôen: ""day illa wayen i $ iaânan, di lameô""? Ini: ""s tidep, lameô akw i Öebbi"". Teffren, deg iman nnsen, ayen ur ak mmalen. Qqaôen: ""lemmer illi wayen i $ iaânan, di lameô, ur nepwan$a dagi"". Ini: ""xas ma tellam deg ixxamen nnwen, wid i$ef tura tmen$iwt, a ten tawev s imîeôêen nnsen. Iwakken ad Ijeôôeb Öebbi i illan deg idmaren nnwen, ad Izzizdeg i illan deg ulawen nnwen. Öebbi Iéôa i illan deg idmaren.","Sinna, deffir uɣilif, Issers awen d laman, iḍes id iɣlin ɣef urbaɛ segwen. Niɣ arbaɛ tḥebbiṛen ɣef yiman nnsen, nnwan, ɣef Ṛebbi, ayen ur nelli d tidet, nnwaya n at war tussna. Qqaṛen: ""day illa wayen i ɣ iaɛnan, di lameṛ""? Ini: ""s tidet, lameṛ akw i Ṛebbi"". Teffren, deg iman nnsen, ayen ur ak mmalen. Qqaṛen: ""lemmer illi wayen i ɣ iaɛnan, di lameṛ, ur netwanɣa dagi"". Ini: ""xas ma tellam deg ixxamen nnwen, wid iɣef tura tmenɣiwt, a ten taweḍ s imṭeṛḥen nnsen. Iwakken ad Ijeṛṛeb Ṛebbi i illan deg idmaren nnwen, ad Izzizdeg i illan deg ulawen nnwen. Ṛebbi Iẓṛa i illan deg idmaren.","ⵙⵉⵏⵏⴰ, ⴷⴼⴼⵉⵔ ⵓⵖⵉⵍⵉⴼ, ⵉⵙⵙⵔⵙ ⴰⵡⵏ ⴷ ⵍⴰⵎⴰⵏ, ⵉⴹⵙ ⵉⴷ ⵉⵖⵍⵉⵏ ⵖⴼ ⵓⵔⴱⴰⵄ ⵙⴳⵡⵏ. ⵏⵉⵖ ⴰⵔⴱⴰⵄ ⵜⵃⴱⴱⵉⵕⵏ ⵖⴼ ⵢⵉⵎⴰⵏ ⵏⵏⵙⵏ, ⵏⵏⵡⴰⵏ, ⵖⴼ ⵕⴱⴱⵉ, ⴰⵢⵏ ⵓⵔ ⵏⵍⵍⵉ ⴷ ⵜⵉⴷⵜ, ⵏⵏⵡⴰⵢⴰ ⵏ ⴰⵜ ⵡⴰⵔ ⵜⵓⵙⵙⵏⴰ. ⵇⵇⴰⵕⵏ: ""ⴷⴰⵢ ⵉⵍⵍⴰ ⵡⴰⵢⵏ ⵉ ⵖ ⵉⴰⵄⵏⴰⵏ, ⴷⵉ ⵍⴰⵎⵕ""? ⵉⵏⵉ: ""ⵙ ⵜⵉⴷⵜ, ⵍⴰⵎⵕ ⴰⴽⵡ ⵉ ⵕⴱⴱⵉ"". ⵜⴼⴼⵔⵏ, ⴷⴳ ⵉⵎⴰⵏ ⵏⵏⵙⵏ, ⴰⵢⵏ ⵓⵔ ⴰⴽ ⵎⵎⴰⵍⵏ. ⵇⵇⴰⵕⵏ: ""ⵍⵎⵎⵔ ⵉⵍⵍⵉ ⵡⴰⵢⵏ ⵉ ⵖ ⵉⴰⵄⵏⴰⵏ, ⴷⵉ ⵍⴰⵎⵕ, ⵓⵔ ⵏⵜⵡⴰⵏⵖⴰ ⴷⴰⴳⵉ"". ⵉⵏⵉ: ""ⵅⴰⵙ ⵎⴰ ⵜⵍⵍⴰⵎ ⴷⴳ ⵉⵅⵅⴰⵎⵏ ⵏⵏⵡⵏ, ⵡⵉⴷ ⵉⵖⴼ ⵜⵓⵔⴰ ⵜⵎⵏⵖⵉⵡⵜ, ⴰ ⵜⵏ ⵜⴰⵡⴹ ⵙ ⵉⵎⵟⵕⵃⵏ ⵏⵏⵙⵏ. ⵉⵡⴰⴽⴽⵏ ⴰⴷ ⵉⵊⵕⵕⴱ ⵕⴱⴱⵉ ⵉ ⵉⵍⵍⴰⵏ ⴷⴳ ⵉⴷⵎⴰⵔⵏ ⵏⵏⵡⵏ, ⴰⴷ ⵉⵣⵣⵉⵣⴷⴳ ⵉ ⵉⵍⵍⴰⵏ ⴷⴳ ⵓⵍⴰⵡⵏ ⵏⵏⵡⵏ. ⵕⴱⴱⵉ ⵉⵥⵕⴰ ⵉ ⵉⵍⵍⴰⵏ ⴷⴳ ⵉⴷⵎⴰⵔⵏ."
3,155,"Ih, wid segwen iwexxôen asmi mlalent trebbuyaâ, d Cciîan kan iten iccacven, ilmend n kra n wayen kesben. Ni$ Isemmeê asen Öebbi. Akka, Öebbi Ipsemmiê, Iêellem.","Ih, wid segwen iwexxṛen asmi mlalent trebbuyaɛ, d Cciṭan kan iten iccacḍen, ilmend n kra n wayen kesben. Niɣ Isemmeḥ asen Ṛebbi. Akka, Ṛebbi Itsemmiḥ, Iḥellem.","ⵉⵀ, ⵡⵉⴷ ⵙⴳⵡⵏ ⵉⵡⵅⵅⵕⵏ ⴰⵙⵎⵉ ⵎⵍⴰⵍⵏⵜ ⵜⵔⴱⴱⵓⵢⴰⵄ, ⴷ ⵛⵛⵉⵟⴰⵏ ⴽⴰⵏ ⵉⵜⵏ ⵉⵛⵛⴰⵛⴹⵏ, ⵉⵍⵎⵏⴷ ⵏ ⴽⵔⴰ ⵏ ⵡⴰⵢⵏ ⴽⵙⴱⵏ. ⵏⵉⵖ ⵉⵙⵎⵎⵃ ⴰⵙⵏ ⵕⴱⴱⵉ. ⴰⴽⴽⴰ, ⵕⴱⴱⵉ ⵉⵜⵙⵎⵎⵉⵃ, ⵉⵃⵍⵍⵎ."
3,156,"A wid iumnen! Ur ppilit am wid ijehlen. Nnan i watmaten nnsen iunagen di tmurt, ne$ ipna$en: ""lemmer llin $uône$, ur mmuten, ur twan$an"". Ad Irr Öebbi, ayagi, d aneggaf deg ulawen nnsen! Öebbi Issidir, Ineqq. Öebbi Ipwali ayen txeddmem.","A wid iumnen! Ur ttilit am wid ijehlen. Nnan i watmaten nnsen iunagen di tmurt, neɣ itnaɣen: ""lemmer llin ɣuṛneɣ, ur mmuten, ur twanɣan"". Ad Irr Ṛebbi, ayagi, d aneggaf deg ulawen nnsen! Ṛebbi Issidir, Ineqq. Ṛebbi Itwali ayen txeddmem.","ⴰ ⵡⵉⴷ ⵉⵓⵎⵏⵏ! ⵓⵔ ⵜⵜⵉⵍⵉⵜ ⴰⵎ ⵡⵉⴷ ⵉⵊⵀⵍⵏ. ⵏⵏⴰⵏ ⵉ ⵡⴰⵜⵎⴰⵜⵏ ⵏⵏⵙⵏ ⵉⵓⵏⴰⴳⵏ ⴷⵉ ⵜⵎⵓⵔⵜ, ⵏⵖ ⵉⵜⵏⴰⵖⵏ: ""ⵍⵎⵎⵔ ⵍⵍⵉⵏ ⵖⵓⵕⵏⵖ, ⵓⵔ ⵎⵎⵓⵜⵏ, ⵓⵔ ⵜⵡⴰⵏⵖⴰⵏ"". ⴰⴷ ⵉⵔⵔ ⵕⴱⴱⵉ, ⴰⵢⴰⴳⵉ, ⴷ ⴰⵏⴳⴳⴰⴼ ⴷⴳ ⵓⵍⴰⵡⵏ ⵏⵏⵙⵏ! ⵕⴱⴱⵉ ⵉⵙⵙⵉⴷⵉⵔ, ⵉⵏⵇⵇ. ⵕⴱⴱⵉ ⵉⵜⵡⴰⵍⵉ ⴰⵢⵏ ⵜⵅⴷⴷⵎⵎ."
3,157,"Ma tepwan$am deg ubrid n Öebbi, ne$ temmutem, ssmaê n Öebbi akked uêunu, war ccekk, ifen ayen la jemâan.","Ma tetwanɣam deg ubrid n Ṛebbi, neɣ temmutem, ssmaḥ n Ṛebbi akked uḥunu, war ccekk, ifen ayen la jemɛan.","ⵎⴰ ⵜⵜⵡⴰⵏⵖⴰⵎ ⴷⴳ ⵓⴱⵔⵉⴷ ⵏ ⵕⴱⴱⵉ, ⵏⵖ ⵜⵎⵎⵓⵜⵎ, ⵙⵙⵎⴰⵃ ⵏ ⵕⴱⴱⵉ ⴰⴽⴽⴷ ⵓⵃⵓⵏⵓ, ⵡⴰⵔ ⵛⵛⴽⴽ, ⵉⴼⵏ ⴰⵢⵏ ⵍⴰ ⵊⵎⵄⴰⵏ."
3,158,"Ma temmutem ne$ tepwan$am, war ccekk, ar Öebbi ara tepwafesrem.","Ma temmutem neɣ tetwanɣam, war ccekk, ar Ṛebbi ara tetwafesrem.","ⵎⴰ ⵜⵎⵎⵓⵜⵎ ⵏⵖ ⵜⵜⵡⴰⵏⵖⴰⵎ, ⵡⴰⵔ ⵛⵛⴽⴽ, ⴰⵔ ⵕⴱⴱⵉ ⴰⵔⴰ ⵜⵜⵡⴰⴼⵙⵔⵎ."
